firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
01 DB METRAVIB;3;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Limonest;69
10VINS;2;B01F;Mixing, e.g. Dissolving, emulsifying, dispersing;;;Nantes;44
14 VIN;2;B65B;"Machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking";;;Sollies Pont;83
1ST SURGICONCEPT;1;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";;;Tourcoing;59
2 FLG;1;A43B;"Characteristic features of footwear; parts of footwear";A43D;Machines, tools, equipment or methods for manufacturing or repairing footwear;Saint Malo;35
2BGAS HYDROGEN;1;F23D;Burners;;;Valenciennes;59
2CSI;1;G06F;Electric digital data processing;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";Pontoise;95
2L SOLUTIONS;1;B25H;"Workshop equipment, e.g. For marking-out work; storage means for workshops";B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";Chauvigny;86
2MI MODELES ET MOULES POUR LINDUSTRIE;1;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";;;La Chabanne;33
3 D MINERALS;1;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Limoges;87
3 S ORTHO;1;A61B;"Diagnosis; surgery; identification";;;Lyon;69
321 PERFORM;1;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;;;egat;66
3C;6;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Neuilly sur Seine;92
3D MEDICAL;2;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Marolles en Brie;94
3D PLUS;13;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Buc;78
3D SLASH;2;G06T;Image data processing or generation, in general;;;Paris;75
3D SOUND LABS;2;G06T;Image data processing or generation, in general;;;Cesson Sevigne;35
3DCERAM;4;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";Limoges;87
3DCERAMSINTO;6;C04B;"Lime; magnesia; slag; cements; compositions thereof, e.g. Mortars, concrete or like building materials; artificial stone; ceramics";;;Limoges;87
3DIS TECHNOLOGIES;4;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Labege;31
3DKREAFORM;1;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Vaulx en Velin;69
3DOM;1;A61K;Preparations for medical, dental, or toilet purposes;;;Olby;63
3DOXIDES;1;C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";;;Saint Genis Pouilly;16
3DRUDDER;1;A63F;"Card, board, or roulette games; indoor games using small moving playing bodies; games not otherwise provided for";;;Marseille;13
3GP INNOVATION;1;F21V;"Functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for";;;Chalons en Champagne;51
3M BRICOLAGE ET BATIMENT;1;E04F;Finishing work on buildings, e.g. Stairs, floors;;;Oyonnax;11
3S ORTHO;4;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Lyon;69
3X ENGINEERING;2;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Albert;98
4 NRJ;1;B60M;Power supply lines, or devices along rails, for electrically-propelled vehicles;;;Blois;41
4030;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Seyssinet Pariset;38
4CECOMOBILE;1;B62D;"Motor vehicles; trailers";;;Conflans Sainte Honorine;78
4D VIEW SOLUTIONS;1;G01C;"Measuring distances, levels or bearings; surveying; navigation; gyroscopic instruments; photogrammetry or videogrammetry";H04N;Pictorial communication, e.g. Television;Grenoble;38
4DVIRTUALIZ;1;B25J;"Manipulators; chambers provided with manipulation devices";;;Clermont Ferrand;63
4G SECURE;1;G09C;Ciphering or deciphering apparatus for cryptographic or other purposes involving the need for secrecy;H04L;Transmission of digital information, e.g. Telegraphic communication;Paris;75
4MC;1;F15B;"Systems acting by means of fluids in general; fluid-pressure actuators, e.g. Servomotors; details of fluid-pressure systems, not otherwise provided for";F16K;"Valves; taps; cocks; actuating-floats; devices for venting or aerating";Sannois;95
4MOD TECHNOLOGY;1;H04R;"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems";;;Nantes;44
4NRJ;5;B60M;Power supply lines, or devices along rails, for electrically-propelled vehicles;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";Le Breuil;41
4PPHARMA;1;A61K;Preparations for medical, dental, or toilet purposes;;;Lille;59
6WIND;2;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Montigny le Bretonneux;78
7B;1;A42B;"Hats; head coverings";A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";Annecy;74
7HUGS LABS;10;H04W;Wireless communication networks;;;Montrouge;92
A ET A MADER;9;C09D;"Coating compositions, e.g. Paints, varnishes or lacquers; filling pastes; chemical paint or ink removers; inks; correcting fluids; woodstains; pastes or solids for colouring or printing; use of materials therefor";;;Lille;59
A ET L RONDOT;1;B25J;"Manipulators; chambers provided with manipulation devices";C03B;"Manufacture or shaping of glass, or of mineral or slag wool; supplementary processes in the manufacture or shaping of glass, or of mineral or slag wool";Champagne au Mont d Or;69
A RAYMOND ET CIE;175;F16B;"Devices for fastening or securing constructional elements or machine parts together, e.g. Nails, bolts, circlips, clamps, clips or wedges; joints or jointing";;;Grenoble;38
A SURGICAL;7;G06T;Image data processing or generation, in general;;;Neuilly sur Seine;92
A THEOBALD;1;F24D;"Domestic- or space-heating systems, e.g. Central heating systems; domestic hot-water supply systems; elements or components therefor";;;Torcy;77
A VOLUTE;1;H03G;Control of amplification;;;Villeneuve d Ascq;59
A2C MATERIAUX;1;E04B;"General building constructions; walls, e.g. Partitions; roofs; floors; ceilings; insulation or other protection of buildings";;;Saint Sauveur les Bray;77
A2C POP UP CONCEPT;1;E01F;Additional work, such as equipping roads or the construction of platforms, helicopter landing stages, signs, snow fences, or the like;;;Montpellier;34
A3BC IP;1;G06F;Electric digital data processing;;;Paris;75
AAF FRANCE;2;B01D;Separation;;;Gasny;27
AATON DIGITAL;2;H04R;"Loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers; deaf-aid sets; public address systems";;;Verneuil sur Avre;27
AAXCES INGENIERIE;1;F16B;"Devices for fastening or securing constructional elements or machine parts together, e.g. Nails, bolts, circlips, clamps, clips or wedges; joints or jointing";;;La Talaudiere;42
AB MEDICA;3;A61B;"Diagnosis; surgery; identification";;;Mery sur Cher;18
AB SCIENCE;16;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
AB7 INDUSTRIES;4;C12M;Apparatus for enzymology or microbiology;;;Deyme;31
AB7 INNOVATION;13;A61K;Preparations for medical, dental, or toilet purposes;;;Deyme;31
ABAD ISABELLE;1;A23B;"Preserving, e.g. By canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products";A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";Bargemon;83
ABANDARAT DRISS;3;B60P;Vehicles adapted for load transportation or to transport, to carry, or to comprise special loads or objects;;;Colmar;68
ABATE PIETRO;1;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Saint etienne;42
ABB FRANCE;10;H01H;"Electric switches; relays; selectors; emergency protective devices";;;Les Ulis;91
ABC MEMBRANES;2;B01D;Separation;;;Donneville;31
ABC SMART CARD;1;G06F;Electric digital data processing;;;Marseille;13
ABCD INNOVATION;1;A61B;"Diagnosis; surgery; identification";;;Paris;75
ABDELLI MARICK;1;E03C;Domestic plumbing installations for fresh water or waste water;F24H;Fluid heaters, e.g. Water or air heaters, having heat-generating means, in general;Moyeuvre Grande;57
ABECASSIS MARC;1;A61F;"Filters implantable into blood vessels; prostheses; devices providing patency to, or preventing collapsing of, tubular structures of the body, e.g. Stents; orthopaedic, nursing or contraceptive devices; fomentation; treatment or protection of eyes or ears; bandages, dressings or absorbent pads; first-aid kits";;;Paris;75
ABEEWAY;3;G01S;"Radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves";;;Meylan;38
ABEILLES SANTE;1;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";;;Cauterets;65
ABEL HELMUT;4;B62K;"Cycles; cycle frames; cycle steering devices; rider-operated terminal controls specially adapted for cycles; cycle axle suspensions; cycle sidecars, forecars, or the like";;;Maisons Laffitte;78
ABENSOUR SAMY;1;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Antony;92
ABENZ 8140;2;H05H;Plasma technique;;;Geispolsheim;67
ABGRALLL CONCEPTION;1;E02F;"Dredging; soil-shifting";;;Daoulas;29
ABIONYX PHARMA;2;A61K;Preparations for medical, dental, or toilet purposes;;;Balma;31
ABIOTEC;1;A01M;Catching, trapping or scaring of animals;;;Le Plessis Robinson;92
ABISDID CHARLENE;2;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABISDID CHARLOTTE;3;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABISDID EPOUSE RAZON CHARLENE;1;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";C06C;"Detonating or priming devices; fuses; chemical lighters; pyrophoric compositions";Marseille;13
ABISDID MARLENE;3;A24D;"Cigars; cigarettes; tobacco smoke filters; mouthpieces for cigars or cigarettes; manufacture of tobacco smoke filters or mouthpieces";;;Marseille;13
ABIVAX;30;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
ABM SOLUTION;1;A45B;Walking sticks;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";Chateau d Olonne;85
ABM TECHNOLOGIES;1;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";G07F;Coin-freed or like apparatus;Alfortville;94
ABMI SUDEST;2;B62D;"Motor vehicles; trailers";;;Guyancourt;78
ABOU TAAM SALAM;1;A61B;"Diagnosis; surgery; identification";;;Paris;75
ABOUDI HABIB;1;E05D;Hinges or other suspension devices for doors, windows, or wings;;;Charly;69
ABOULCAID MUSTAPHA;1;E02D;"Foundations; excavations; embankments";;;Villejuif;94
ABP AQUILINA BOUVIER POOL;4;B01D;Separation;;;Albon;26
ABRIEL;1;A23K;"Feeding-stuffs specially adapted for animals; methods specially adapted for production thereof";;;Saint Joseph;97
ABRIS ET FILTRATIONS MODERNES;1;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;Floirac;33
ABRISUD;9;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;L Isle Jourdain;32
ABSOGER;1;B01D;Separation;;;Les Barthes;82
ABSOLUT SYSTEM;1;H02K;Dynamo-electric machines;;;Seyssinet Pariset;38
ABYSSNAUT;2;B24B;Machines, devices, or processes for grinding or polishing;;;Olliergues;63
AC BIOTECH;1;A61K;Preparations for medical, dental, or toilet purposes;;;Saint Arnoult en Yvelines;78
AC CO TECHNOLOGIES;1;A61H;"Physical therapy apparatus, e.g. Devices for locating or stimulating reflex points in the body; artificial respiration; massage; bathing devices for special therapeutic or hygienic purposes or specific parts of the body";;;Ardentes;36
ACB;5;B01F;Mixing, e.g. Dissolving, emulsifying, dispersing;;;Rosieres pres Troyes;10
ACB ENGINEERING;1;G01H;Measurement of mechanical vibrations or ultrasonic, sonic or infrasonic waves;;;Herblay;95
ACB PUME;1;E02F;"Dredging; soil-shifting";;;Saint Victor;34
ACC INGENIERIE ET MAINTENANCE;1;H01Q;Aerials;;;Clermont Ferrand;63
ACC LA JONCHERE;1;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Nanterre;92
ACCANTE;1;A61C;"Dentistry; apparatus or methods for oral or dental hygiene";;;Saint Leonard;62
ACCESS EQUIP MOTOS FRANCE;3;A41D;"Outerwear; protective garments; accessories";;;Macon;71
ACCEXIT;1;B60B;Vehicle wheels;;;Lille;59
ACCO;8;H03F;Amplifiers;;;Louveciennes;78
ACCOPLAS GENERALE DE FERMETURES;2;E04F;Finishing work on buildings, e.g. Stairs, floors;;;Marseille;13
ACCOU JEROME;1;A24B;"Manufacture or preparation of tobacco for smoking or chewing; tobacco; snuff";;;Le Mans;72
ACCPROBAT;1;B28B;Shaping clay or other ceramic compositions, slag or mixtures containing cementitious material, e.g. Plaster;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";Wasquehal;59
ACCROCHE TABLEAU;1;A47G;Household or table equipment;;;Les Pins;61
ACCURIDE WHEELS TROYES;1;G01M;"Testing static or dynamic balance of machines or structures; testing of structures or apparatus, not otherwise provided for";;;La Chapelle Saint Luc;10
ACCUWATT;1;G01R;"Measuring electric variables; measuring magnetic variables";H02J;"Circuit arrangements or systems for supplying or distributing electric power; systems for storing electric energy";Saclay;91
ACD AGENCE COMMERCIALE DOUCET;1;B65D;"Containers for storage or transport of articles or materials, e.g. Bags, barrels, bottles, boxes, cans, cartons, crates, drums, jars, tanks, hoppers, forwarding containers; accessories, closures, or fittings therefor; packaging elements; packages";;;Rumilly;74
ACE;1;F24D;"Domestic- or space-heating systems, e.g. Central heating systems; domestic hot-water supply systems; elements or components therefor";;;Guyancourt;78
ACE DEVELOPMENT SOLUTION;1;A61M;Devices for introducing media into, or onto, the body;;;Lissieu;69
ACEBI;3;B63B;"Ships or other waterborne vessels; equipment for shipping";;;Saint Herblon;44
ACEL ENERGIES;2;F25B;"Refrigeration machines, plants, or systems; combined heating and refrigeration systems; heat pump systems";;;Senouillac;81
ACEMMA;1;B65B;"Machines, apparatus or devices for, or methods of, packaging articles or materials; unpacking";;;Saint Georges de Reneins;69
ACEP FRANCE;2;A61B;"Diagnosis; surgery; identification";;;Paris;75
ACERDE;3;C23C;"Coating metallic material; coating material with metallic material; surface treatment of metallic material by diffusion into the surface, by chemical conversion or substitution; coating by vacuum evaporation, by sputtering, by ion implantation or by chemical vapour deposition, in general";;;Sainte Helene du Lac;73
ACERGY FRANCE;44;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Suresnes;92
ACFT BUREAU DETUDES;1;B09B;Disposal of solid waste;;;Barc;27
ACHD;1;G02C;"Spectacles; sunglasses or goggles insofar as they have the same features as spectacles; contact lenses";;;Paris;75
ACHIK MSADI NORDINE;1;A45C;"Purses; luggage; hand carried bags";;;Bondy;93
ACILTEK;1;H05K;"Printed circuits; casings or constructional details of electric apparatus; manufacture of assemblages of electrical components";;;Paris;75
ACIME FRAME;4;A61G;Transport, personal conveyances, or accommodation specially adapted for patients or disabled persons;;;La Madeleine;59
ACINOV;1;B05B;"Spraying apparatus; atomising apparatus; nozzles";B65G;"Transport or storage devices, e.g. Conveyers for loading or tipping; shop conveyer systems; pneumatic tube conveyers";Bressolles;13
ACIS AQUA CONSULT INDUSTRIE SERVICES;3;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;Saint Philbert de Grand Lieu;44
ACK FORANKRA;2;B62D;"Motor vehicles; trailers";;;Mions;69
ACKLIO;6;H04W;Wireless communication networks;;;Cesson Sevigne;35
ACL SPORT NATURE;2;A63B;"Apparatus for physical training, gymnastics, swimming, climbing, or fencing; ball games; training equipment";;;Beignon;56
ACM;2;A61K;Preparations for medical, dental, or toilet purposes;;;Clichy;92
ACM FRANCE;1;B21J;"Forging; hammering; pressing; riveting; forge furnaces";;;Creuzier le Neuf;33
ACO;1;E01B;"Permanent way; permanent-way tools; machines for making railways of all kinds";;;Notre Dame de l Isle;27
ACOBIOM;3;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Grabels;34
ACOME;5;G02B;Optical elements, systems, or apparatus;;;Paris;75
ACOME COOPERATIVE ET PARTICIPATIVE ANONYME COOPERATIVE DE PRODUCTION A CAPITAL VARIABLE;14;G02B;Optical elements, systems, or apparatus;;;Paris;75
ACORL AGENCE COMMERCIALE RENE LECOQ;1;E04H;"Buildings or like structures for particular purposes; swimming or splash baths or pools; masts; fencing; tents or canopies, in general";;;Saint Brieuc;22
ACOUDESIGN;1;E04B;"General building constructions; walls, e.g. Partitions; roofs; floors; ceilings; insulation or other protection of buildings";E04F;Finishing work on buildings, e.g. Stairs, floors;Saint Symphorien d Ozon;69
ACOUSTICAL BEAUTY;4;H03M;Coding, decoding or code conversion, in general;;;Vaas;72
ACOUSTIQUE FRANCAISE;1;F21V;"Functional features or details of lighting devices or systems thereof; structural combinations of lighting devices with other articles, not otherwise provided for";;;Gonesse;95
ACPV;1;B60J;"Windows, windscreens, non-fixed roofs, doors, or similar devices for vehicles; removable external protective coverings specially adapted for vehicles";;;Paris;75
ACRYLIAN;2;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";C08F;Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds;Strasbourg;67
ACSP ETUDE RECHERCHE EN HYGIENE INDUSTRIELLE;2;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";G01N;Investigating or analysing materials by determining their chemical or physical properties;Saint Laurent des Arbres;30
ACT750;1;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";;;Grenoble;38
ACTA ALGA;2;C12M;Apparatus for enzymology or microbiology;;;Paris;75
ACTEMIUM;1;C02F;Treatment of water, waste water, sewage, or sludge;G06F;Electric digital data processing;Montesson;78
ACTI MEDIAS;2;B42D;"Books; book covers; loose leaves; printed matter of special format or style not otherwise provided for; devices for use therewith; movable-strip writing or reading apparatus";;;Toulouse;31
ACTIA AUTOMOTIVE;1;G08C;Transmission systems for measured values, control or similar signals;;;Toulouse;31
ACTIA PCS;1;H04L;Transmission of digital information, e.g. Telegraphic communication;;;Maisons Alfort;94
ACTIALUNA;1;G06F;Electric digital data processing;;;Paris;75
ACTIBAC;2;B62D;"Motor vehicles; trailers";;;Maizieres;54
ACTICOR BIOTECH;2;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
ACTILITY;3;H04W;Wireless communication networks;;;Lannion;22
ACTIMESURE;1;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";;;Parcay Meslay;37
ACTINI;2;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";Maxilly sur Leman;74
ACTION COMMUNICATION;7;G01V;"Geophysics; gravitational measurements; detecting masses or objects; tags";;;Cuers;83
ACTION EUROPE;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Sausheim;68
ACTION GAMES PRODUCTIONS;1;A47B;"Tables; desks; office furniture; cabinets; drawers; general details of furniture";A63F;"Card, board, or roulette games; indoor games using small moving playing bodies; games not otherwise provided for";Mougins;62
ACTIVINSIDE;3;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;;;Beychac et Caillau;33
ACTIWORK;1;E01H;"Street cleaning; cleaning of permanent ways; cleaning beaches; cleaning land; dispersing fog in general";;;Beynost;17
ACTOLL;1;G07B;"Ticket-issuing apparatus; taximeters; arrangements or apparatus for collecting fares, tolls or entrance fees at one or more control points;  franking apparatus";;;Meylan;38
ACTRONIKA;2;A61H;"Physical therapy apparatus, e.g. Devices for locating or stimulating reflex points in the body; artificial respiration; massage; bathing devices for special therapeutic or hygienic purposes or specific parts of the body";H02K;Dynamo-electric machines;Paris;75
ACUBENS;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;G01T;Measurement of nuclear or x-radiation;Antony;92
ACUSTIS;1;A61B;"Diagnosis; surgery; identification";;;Paris;75
ACXYS TECHNOLOGIES;1;A47G;Household or table equipment;C03C;"Chemical composition of glasses, glazes, or vitreous enamels; surface treatment of glass; surface treatment of fibres or filaments from glass, minerals or slags; joining glass to glass or other materials";Saint Martin le Vinoux;38
AD NUCLEIS;1;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Grezieu la Varenne;69
AD SYSTEMS;2;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Saint Andre sur Orne;14
AD VENTA;4;F16L;"Pipes; joints or fittings for pipes; supports for pipes, cables or protective tubing; means for thermal insulation in general";;;Bourg de Peage;26
ADAGOS;1;G01K;"Measuring temperature; measuring quantity of heat; thermally-sensitive elements not otherwise provided for";G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";Ramonville Saint Agne;31
ADARE PHARMACEUTICALS;1;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;;;Houdan;78
ADC EUROPE NV;1;H02G;Installation of electric cables or lines, or of combined optical and electric cables or lines;H04Q;Selecting;Lisses;91
ADDA JEANMARC;1;A61M;Devices for introducing media into, or onto, the body;;;Boulogne Billancourt;92
ADDBIKE;1;B62K;"Cycles; cycle frames; cycle steering devices; rider-operated terminal controls specially adapted for cycles; cycle axle suspensions; cycle sidecars, forecars, or the like";;;Lyon;69
ADDITIF;3;B65H;Handling thin or filamentary material, e.g. Sheets, webs, cables;;;Foucherans;39
ADDONE;1;A62B;Devices, apparatus or methods for life-saving;;;Perigny;17
ADDUP;16;B29C;"Shaping or joining of plastics; shaping of substances in a plastic state, in general; after- treatment of the shaped products, e.g. Repairing";;;Cebazat;63
ADELE H;1;G10C;Pianos, harpsichords, spinets or similar stringed musical instruments with one or more keyboards;;;Lyon;69
ADENOBIO NV;1;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
ADEOS;1;E05C;Bolts or fastening devices for wings, specially for doors or windows;;;Sainte Marie;35
ADESTO TECHNOLOGIES FRANCE;1;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Corbeil Essonnes;91
ADETEL EQUIPMENT;2;B60L;Propulsion of electrically-propelled vehicles;;;ecully;69
ADETEL TRANSPORTATION SOLUTION;1;H02J;"Circuit arrangements or systems for supplying or distributing electric power; systems for storing electric energy";;;ecully;69
ADEUNIS RF;3;G10L;"Speech analysis or synthesis; speech recognition; audio analysis or processing";;;Crolles;38
ADG ATELIERS DES GRAVES;1;C12M;Apparatus for enzymology or microbiology;;;Villeneuve Tolosane;31
ADHESIFS ET COMPOSITES POLYMERS;1;C09J;"Adhesives; non-mechanical aspects of adhesive processes in general; adhesive processes not provided for elsewhere; use of materials as adhesives";;;Le Barp;33
ADHETEC;4;B32B;Layered products, i.e. Products built-up of strata of flat or non-flat, e.g. Cellular or honeycomb, form;;;Tarbes;65
ADHEX TECHNOLOGIES;16;B60R;Vehicles, vehicle fittings, or vehicle parts, not otherwise provided for;;;Chenove;21
ADHOC SCIENTIFIC A ASSOCIE UNIQUE;2;A61M;Devices for introducing media into, or onto, the body;;;Rohrwiller;67
ADIAL;2;G07F;Coin-freed or like apparatus;;;Lisieux;14
ADIAMAS;2;A47J;"Kitchen equipment; coffee mills; spice mills; apparatus for making beverages";B02C;"Crushing, pulverising, or disintegrating in general; milling grain";Palladuc;63
ADIMAS;1;B09B;Disposal of solid waste;;;Plaisir;78
ADINOX;1;B65G;"Transport or storage devices, e.g. Conveyers for loading or tipping; shop conveyer systems; pneumatic tube conveyers";;;Oudalle;76
ADIONICS;3;C02F;Treatment of water, waste water, sewage, or sludge;;;Paris;75
ADISSEO FRANCE;27;C07C;Acyclic or carbocyclic compounds;;;Antony;92
ADIV DEVELOPPEMENT;2;A23B;"Preserving, e.g. By canning, meat, fish, eggs, fruit, vegetables, edible seeds; chemical ripening of fruit or vegetables; the preserved, ripened, or canned products";;;Clermont Ferrand;63
ADIXEN VACUUM PRODUCTS;9;F04C;Rotary-piston, or oscillating-piston, positive-displacement machines for liquids;;;Annecy;74
ADLER;5;E05B;"Locks; accessories therefor; handcuffs";;;Moussy le Neuf;77
ADM CONCEPT;2;G06Q;"Data processing systems or methods, specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes; systems or methods specially adapted for administrative, commercial, financial, managerial, supervisory or forecasting purposes, not otherwise provided for";;;Limoges;87
ADN ACCESS DATA NETWORKS;1;G06F;Electric digital data processing;;;Paris;75
ADOCIA;33;A61K;Preparations for medical, dental, or toilet purposes;;;Lyon;69
ADOK;1;G02B;Optical elements, systems, or apparatus;G03B;"Apparatus or arrangements for taking photographs or for projecting or viewing them; apparatus or arrangements employing analogous techniques using waves other than optical waves; accessories therefor";Paris;75
ADOUR METHANISATION;1;C05F;"Organic fertilisers not covered by subclasses ; c05b, c05c, e.g. Fertilisers from waste or refuse";;;Aire sur l Adour;40
ADPTCF AGENCE DE DISTRIBUTION DE PRODUITS DE TRAITEMENTS CONTRE LE FEU;1;B27K;"Processes, apparatus or selection of substances for impregnating, staining, dyeing or bleaching of wood, or for treating of wood with permeant liquids, not otherwise provided for; chemical or physical treatment of cork, cane, reed, straw or similar materials";;;Paris;75
ADPUERIVITAM;1;C07D;Heterocyclic compounds;;;Antony;92
ADRENE;1;B31D;Making other paper articles;;;Gondreville;54
