firm_name;n_patents;ipc_main_code;ipc_main_desc;ipc_second_code;ipc_second_desc;addr_city_main;addr_dept_main
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE RENNES INSA DE RENNES;3;A61L;"Methods or apparatus for sterilising materials or objects in general; disinfection, sterilisation, or deodorisation of air; chemical aspects of bandages, dressings, absorbent pads, or surgical articles; materials for bandages, dressings, absorbent pads, or surgical articles";C09K;"Materials for applications not otherwise provided for; applications of materials not otherwise provided for";Rennes;35
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN;1;C07D;Heterocyclic compounds;;;Saint etienne du Rouvray;76
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN INSA;4;C22B;Production or refining of metals;;;Saint etienne du Rouvray;76
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN NORMANDIE;2;B09B;Disposal of solid waste;;;Saint etienne du Rouvray;76
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE STRASBOURG;1;A61B;"Diagnosis; surgery; identification";;;Strasbourg;67
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE;30;C12N;"Micro-organisms or enzymes; compositions thereof";;;Toulouse;31
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE INSA TOULOUSE;1;F04F;Pumping of fluid by direct contact of another fluid or by using inertia of fluid to be pumped;;;Toulouse;31
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE TOULOUSE INSAT;4;G01N;Investigating or analysing materials by determining their chemical or physical properties;;;Toulouse;31
INSTITUT NATIONAL DES SCIENCES APPLIQUEES ETABLISSEMENT PUBLIC A CARACTERE SCIENTIFIQUE CULTUREL ET PROFESSIONNEL;2;G02B;Optical elements, systems, or apparatus;;;Strasbourg;67
INSTITUT NATIONAL DES SCIENCES APPLIQUEES INSA;6;C12N;"Micro-organisms or enzymes; compositions thereof";;;Rennes;35
INSTITUT NATIONAL DES SCIENCES APPLIQUEES LYON;1;C09D;"Coating compositions, e.g. Paints, varnishes or lacquers; filling pastes; chemical paint or ink removers; inks; correcting fluids; woodstains; pastes or solids for colouring or printing; use of materials therefor";;;Villeurbanne;69
INSTITUT NATIONAL DES SCIENCES APPLIQUEES ROUEN;1;H01S;Devices using stimulated emission;;;Rouvray;76
INSTITUT NATIONAL DETUDES SUPERIEURES AGRONOMIQUES DE MONTPELLIER;2;H01M;Processes or means, e.g. Batteries, for the direct conversion of chemical energy into electrical energy;;;Montpellier;34
INSTITUT NATIONAL DETUDES SUPERIEURES AGRONOMIQUES DE MONTPELLIER MONTPELLIER SUPAGRO;4;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";;;Montpellier;34
INSTITUT NATIONAL DU SPORT DE LEXPERTISE ET DE LA PERFORMANCE;1;A61B;"Diagnosis; surgery; identification";;;Paris;75
INSTITUT NATIONAL POLYTECHNIQUE;3;C25D;"Processes for the electrolytic or electrophoretic production of coatings; electroforming";;;Toulouse;31
INSTITUT NATIONAL POLYTECHNIQUE DE LORRAINE;1;G01R;"Measuring electric variables; measuring magnetic variables";;;Vandoeuvre les Nancy;54
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE;40;B01J;"Chemical or physical processes, e.g. Catalysis, colloid chemistry; their relevant apparatus";;;Toulouse;31
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE INPT;14;A01N;Preservation of bodies of humans or animals or plants or parts thereof;;;Toulouse;31
INSTITUT NATIONAL SCIENCES APPLIQUEES ROUEN;1;C22B;Production or refining of metals;;;Saint etienne du Rouvray;76
INSTITUT NATIONAL SUPERIEUR DES SCIENCES AGRONOMIQUES DE LALIMENTATION ET DE LENVIRONMENT;3;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";;;Dijon;21
INSTITUT NATIONAL SUPERIEUR DES SCIENCES AGRONOMIQUES DE LALIMENTATION ET DE LENVIRONMENT AGROSUP DIJON;2;A61K;Preparations for medical, dental, or toilet purposes;;;Dijon;21
INSTITUT NATIONAL SUPERIEUR DES SCIENCES AGRONOMIQUES DE LALIMENTATION ET DE LENVIRONNEMENT;4;C12G;"Wine; other alcoholic beverages; preparation thereof";G01N;Investigating or analysing materials by determining their chemical or physical properties;Dijon;21
INSTITUT NATIONAL TRANSFUSION SANGUINE;3;C07K;Peptides;G01N;Investigating or analysing materials by determining their chemical or physical properties;Paris;75
INSTITUT NATIONAL UNIVERSITAIRE CHAMPOLLION;1;C07K;Peptides;;;Albi;81
INSTITUT NATIONAL UNIVERSITAIRE JEANFRANCOIS CHAMPOLLION;2;C07K;Peptides;;;Albi;81
INSTITUT PAOLI CALMETTES;1;C12Q;Measuring or testing processes involving enzymes or micro-organisms;G01N;Investigating or analysing materials by determining their chemical or physical properties;Marseille;13
INSTITUT PAOLICALMETTES;3;C12Q;Measuring or testing processes involving enzymes or micro-organisms;;;Marseille;13
INSTITUT PASTEUR;226;A61K;Preparations for medical, dental, or toilet purposes;;;Paris;75
INSTITUT PASTEUR DE LILLE;36;A61K;Preparations for medical, dental, or toilet purposes;;;Lille;59
INSTITUT PASTEUR DE LILLE IPL;2;A61K;Preparations for medical, dental, or toilet purposes;A61P;Specific therapeutic activity of chemical compounds or medicinal preparations;Lille;59
INSTITUT PHOTOVOLTAIQUE DILE DE FRANCE;3;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";;;Palaiseau;91
INSTITUT PHOTOVOLTAIQUE DILE DE FRANCE IPVF;7;G01N;Investigating or analysing materials by determining their chemical or physical properties;H01L;"Semiconductor devices; electric solid state devices not otherwise provided for";Antony;92
INSTITUT PIERRE VERNIER;1;G01B;"Measuring length, thickness or similar linear dimensions; measuring angles; measuring areas; measuring irregularities of surfaces or contours";;;Besancon;25
INSTITUT POLYTECHNIQUE DE BORDEAUX;120;C08G;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds;;;Talence;33
INSTITUT POLYTECHNIQUE DE BORDEAUX 1;13;H01M;Processes or means, e.g. Batteries, for the direct conversion of chemical energy into electrical energy;;;Talence;33
INSTITUT POLYTECHNIQUE DE BORDEAUX IPB;5;A61K;Preparations for medical, dental, or toilet purposes;;;Talence;33
INSTITUT POLYTECHNIQUE DE GRENOBLE;115;H01M;Processes or means, e.g. Batteries, for the direct conversion of chemical energy into electrical energy;;;Grenoble;38
INSTITUT POLYTECHNIQUE UNILASALLE;1;C07C;Acyclic or carbocyclic compounds;;;Beauvais;60
INSTITUT POUR LE DEVELOPPEMENT DE LA SCIENCE LEDUCATION ET LA TECHNOLOGIE;1;G08B;"Signalling or calling systems; order telegraphs; alarm systems";;;Paris;75
INSTITUT REGIONAL DES MATERIAUX AVANCES IRMA;1;B01D;Separation;B01J;"Chemical or physical processes, e.g. Catalysis, colloid chemistry; their relevant apparatus";Ploemeur;56
INSTITUT REGIONAL DU CANCER DE MONTPELLIER;26;A61K;Preparations for medical, dental, or toilet purposes;;;Montpellier;34
INSTITUT REGIONAL DU CANCER DE MONTPELLIER ICM;4;A61K;Preparations for medical, dental, or toilet purposes;;;Montpellier;34
INSTITUT REGIONAL DU CANCER DE MONTPELLIER VAL DAURELLE;5;C07K;Peptides;;;Montpellier;34
INSTITUT SAINTE CATHERINE;1;A61K;Preparations for medical, dental, or toilet purposes;;;Avignon;84
INSTITUT SUPERIEUR DE LAERONAUTIQUE ET DE LESPACE;10;G01S;"Radio direction-finding; radio navigation; determining distance or velocity by use of radio waves; locating or presence-detecting by use of the reflection or reradiation of radio waves; analogous arrangements using other waves";;;Toulouse;31
INSTITUT SUPERIEUR DE LAERONAUTIQUE ET DE LESPACE ECOLE NATIONALE SUPERIEURE DE MECANIQUE ET DAEROTECHNIQUE ISAEENSMA;1;C21D;"Modifying the physical structure of ferrous metals; general devices for heat treatment of ferrous or non-ferrous metals or alloys; making metal malleable by decarburisation, tempering, or other treatments";C22F;Changing the physical structure of non-ferrous metals or non-ferrous alloys;Chasseneuil du Poitou;86
INSTITUT SUPERIEUR DES SCIENCES AGRONOMIQUES AGROALIMENTAIRES HORTICOLES ET DU PAYSAGE;2;A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";;;Rennes;35
INSTITUT SUPERIEUR DES SCIENCES AGRONOMIQUES AGROALIMENTAIRES HORTICOLES ET DU PAYSAGE AGRO CAMPUS QUEST;1;A23C;"Dairy products, e.g. Milk, butter, cheese; milk or cheese substitutes; making thereof";;;Rennes;35
INSTITUT SUPERIEUR DES SCIENCES AGRONOMIQUES AGROALIMENTAIRES HORTICOLES ET DU PAYSAGE AGRO CAMUS OUEST;1;A23C;"Dairy products, e.g. Milk, butter, cheese; milk or cheese substitutes; making thereof";A23L;"Foods, foodstuffs, or non-alcoholic beverages, not covered by subclasses ; a21d;  or a23b-a23j; their preparation or treatment, e.g. Cooking, modification of nutritive qualities, physical treatment";Rennes;35
INSTITUT TECHNIQUE DES GAZ ET DE LAIR;2;B01D;Separation;;;Saint Gregoire;35
INSTITUT TECHNOLOGIQUE FCBA;3;C08H;Derivatives of natural macromolecular compounds;C09K;"Materials for applications not otherwise provided for; applications of materials not otherwise provided for";Champs sur Marne;77
INSTITUT TELECOM TELECOM BRETAGNE;3;G06F;Electric digital data processing;;;Brest;29
INSTITUT TELECOM TELECOM PARIS TECH;1;G06F;Electric digital data processing;;;Paris;75
INSTITUT TELECOM TELECOM PARISTECH;3;H04B;Transmission;;;Paris;75
